"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"苦い真理/Painful Truths ","(２)(黒)","ソーサリー ","収斂 ― あなたはカードをＸ枚引き、Ｘ点のライフを失う。Ｘは、苦い真理を唱えるために支払われたマナの色の総数に等しい。","Converge --- You draw X cards and you lose X life, where X is the number of colors of mana spent to cast Painful Truths.",-,-,,"Winona Nelson","レア, 戦乱のゼンディカー (120/274) ",-
"ハグラへの撤退/Retreat to Hagra ","(２)(黒)","エンチャント ","上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、以下から１つを選ぶ。・クリーチャー１体を対象とする。ターン終了時まで、それは+1/+0の修整を受けるとともに接死を得る。・各対戦相手はそれぞれ１点のライフを失い、あなたは１点のライフを得る。","Landfall --- Whenever a land enters the battlefield under your control, choose one ---• Target creature gets +1/+0 and gains deathtouch until end of turn.• Each opponent loses 1 life and you gain 1 life.",-,-,,"Kieran Yanner","アンコモン, 戦乱のゼンディカー (121/274) ",-
"湧き上がる瘴気/Rising Miasma ","(３)(黒)","ソーサリー ","ターン終了時まで、すべてのクリーチャーは-2/-2の修整を受ける。覚醒３ ― (５)(黒)(黒)（この呪文を(５)(黒)(黒)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを３個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）","All creatures get -2/-2 until end of turn.Awaken 3 --- {5}{B}{B} （If you cast this spell for {5}{B}{B}, also put three +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Deruchenko Alexander","アンコモン, 戦乱のゼンディカー (122/274) ",-
"破滅の道/Ruinous Path ","(１)(黒)(黒)","ソーサリー ","クリーチャー１体かプレインズウォーカー１体を対象とし、それを破壊する。覚醒４ ― (５)(黒)(黒)（この呪文を(５)(黒)(黒)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを４個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）","Destroy target creature or planeswalker.Awaken 4 --- {5}{B}{B} （If you cast this spell for {5}{B}{B}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Jaime Jones","レア, 戦乱のゼンディカー (123/274) ",-
"吸血の儀式/Vampiric Rites ","(黒)","エンチャント ","(１)(黒),クリーチャーを１体生け贄に捧げる：あなたは１点のライフを得てカードを１枚引く。","{1}{B}, Sacrifice a creature: You gain 1 life and draw a card.",-,-,,"Anastasia Ovchinnikova","アンコモン, 戦乱のゼンディカー (124/274) ",-
"大食の虚身/Voracious Null ","(２)(黒)","クリーチャー — ゾンビ(Zombie) ","(１)(黒),他のクリーチャーを１体生け贄に捧げる：大食の虚身の上に+1/+1カウンターを２個置く。この能力は、あなたがソーサリーを唱えられるときにのみ起動できる。","{1}{B}, Sacrifice another creature: Put two +1/+1 counters on Voracious Null. Activate this ability only any time you could cast a sorcery.",2/2,-,,"Karl Kopinski","コモン, 戦乱のゼンディカー (125/274) ",-
"ズーラポートの殺し屋/Zulaport Cutthroat ","(１)(黒)","クリーチャー — 人間(Human)・ならず者(Rogue)・同盟者(Ally) ","ズーラポートの殺し屋かあなたがコントロールする他のクリーチャーが１体死亡するたび、各対戦相手はそれぞれ１点のライフを失い、あなたは１点のライフを得る。","Whenever Zulaport Cutthroat or another creature you control dies, each opponent loses 1 life and you gain 1 life.",1/1,-,,"Jason Rainville","アンコモン, 戦乱のゼンディカー (126/274) ",-
"連射する暴君/Barrage Tyrant ","(４)(赤)","クリーチャー — エルドラージ(Eldrazi) ","欠色（このカードは無色である。）(２)(赤),他の無色のクリーチャーを１体生け贄に捧げる：クリーチャー１体かプレイヤー１人を対象とする。連射する暴君はそれに、生け贄に捧げられたクリーチャーのパワーに等しい点数のダメージを与える。","Devoid （This card has no color.）{2}{R}, Sacrifice another colorless creature: Barrage Tyrant deals damage equal to the sacrificed creature's power to target creature or player.",5/3,-,,"Chris Rallis","レア, 戦乱のゼンディカー (127/274) ",-
"塵への崩壊/Crumble to Dust ","(３)(赤)","ソーサリー ","欠色（このカードは無色である。）基本でない土地１つを対象とし、それを追放する。それのコントローラーの墓地と手札とライブラリーから、その土地と同じ名前を持つカードを望む枚数探し、それらを追放する。その後、そのプレイヤーは自分のライブラリーを切り直す。","Devoid （This card has no color.）Exile target nonbasic land. Search its controller's graveyard, hand, and library for any number of cards with the same name as that land and exile them. Then that player shuffles his or her library.",-,-,,"James Paick","アンコモン, 戦乱のゼンディカー (128/274) ",-
"コジレックの歩哨/Kozilek's Sentinel ","(１)(赤)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）あなたが無色の呪文を１つ唱えるたび、ターン終了時まで、コジレックの歩哨は+1/+0の修整を受ける。","Devoid （This card has no color.）Whenever you cast a colorless spell, Kozilek's Sentinel gets +1/+0 until end of turn.",1/4,-,,"Raymond Swanland","コモン, 戦乱のゼンディカー (129/274) ",-
"溶鉄の生育場/Molten Nursery ","(２)(赤)","エンチャント ","欠色（このカードは無色である。）あなたが無色の呪文を１つ唱えるたび、クリーチャー１体かプレイヤー１人を対象とする。溶鉄の生育場はそれに１点のダメージを与える。","Devoid （This card has no color.）Whenever you cast a colorless spell, Molten Nursery deals 1 damage to target creature or player.",-,-,,"Raymond Swanland","アンコモン, 戦乱のゼンディカー (130/274) ",-
"棘撃ちドローン/Nettle Drone ","(２)(赤)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）(Ｔ)：棘撃ちドローンは各対戦相手にそれぞれ１点のダメージを与える。あなたが無色の呪文を１つ唱えるたび、棘撃ちドローンをアンタップする。","Devoid （This card has no color.）{T}: Nettle Drone deals 1 damage to each opponent.Whenever you cast a colorless spell, untap Nettle Drone.",3/1,-,,"Clint Cearley","コモン, 戦乱のゼンディカー (131/274) ",-
"昇華者の突撃/Processor Assault ","(１)(赤)","ソーサリー ","欠色（このカードは無色である。）昇華者の突撃を唱えるための追加コストとして、追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置く。クリーチャー１体を対象とする。昇華者の突撃はそれに５点のダメージを与える。","Devoid （This card has no color.）As an additional cost to cast Processor Assault, put a card an opponent owns from exile into that player's graveyard.Processor Assault deals 5 damage to target creature.",-,-,,"Jama Jurabaev","アンコモン, 戦乱のゼンディカー (132/274) ",-
"うねる撃ちこみ/Serpentine Spike ","(５)(赤)(赤)","ソーサリー ","欠色（このカードは無色である。）クリーチャー１体と他のクリーチャー１体とさらに他のクリーチャー１体を対象とする。うねる撃ちこみはその第一者に２点のダメージを与え、その第二者に３点のダメージを与え、その第三者に４点のダメージを与える。このターン、これによりダメージを与えられたクリーチャーが死亡するなら、代わりにそれを追放する。","Devoid （This card has no color.）Serpentine Spike deals 2 damage to target creature, 3 damage to another target creature, and 4 damage to a third target creature. If a creature dealt damage this way would die this turn, exile it instead.",-,-,,"Jaime Jones","レア, 戦乱のゼンディカー (133/274) ",-
"虚空の接触/Touch of the Void ","(２)(赤)","ソーサリー ","欠色（このカードは無色である。）クリーチャー１体かプレイヤー１人を対象とする。虚空の接触はそれに３点のダメージを与える。このターン、これによりダメージを与えられたクリーチャーが死亡するなら、代わりにそれを追放する。","Devoid （This card has no color.）Touch of the Void deals 3 damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.",-,-,,"David Gaillet","コモン, 戦乱のゼンディカー (134/274) ",-
"敵対/Turn Against ","(４)(赤)","インスタント ","欠色（このカードは無色である。）クリーチャー１体を対象とする。ターン終了時まで、それのコントロールを得る。そのクリーチャーをアンタップする。ターン終了時まで、それは速攻を得る。","Devoid （This card has no color.）Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.",-,-,,"Chris Rallis","アンコモン, 戦乱のゼンディカー (135/274) ",-
"エムラクールの名残/Vestige of Emrakul ","(３)(赤)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）トランプル","Devoid （This card has no color.）Trample",3/4,-,,"Tyler Jacobson","コモン, 戦乱のゼンディカー (136/274) ",-
"不快な集合体/Vile Aggregate ","(２)(赤)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）不快な集合体のパワーは、あなたがコントロールする無色のクリーチャーの総数に等しい。トランプル嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）","Devoid （This card has no color.）Vile Aggregate's power is equal to the number of colorless creatures you control.TrampleIngest （Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.）",*/5,-,,"Chris Rallis","アンコモン, 戦乱のゼンディカー (137/274) ",-
"アクームの火の鳥/Akoum Firebird ","(２)(赤)(赤)","クリーチャー — フェニックス(Phoenix) ","飛行、速攻毎ターン、アクームの火の鳥は可能なら攻撃する。上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、あなたは(４)(赤)(赤)を支払ってもよい。そうしたなら、あなたの墓地からアクームの火の鳥を戦場に戻す。","Flying, hasteAkoum Firebird attacks each turn if able.Landfall --- Whenever a land enters the battlefield under your control, you may pay {4}{R}{R}. If you do, return Akoum Firebird from your graveyard to the battlefield.",3/3,-,,"Chris Rahn","神話レア, 戦乱のゼンディカー (138/274) ",-
"アクームのヘルカイト/Akoum Hellkite ","(４)(赤)(赤)","クリーチャー — ドラゴン(Dragon) ","飛行上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、クリーチャー１体かプレイヤー１人を対象とする。アクームのヘルカイトはそれに１点のダメージを与える。その土地が山(Mountain)であるなら、代わりにアクームのヘルカイトはそのクリーチャーかプレイヤーに２点のダメージを与える。","FlyingLandfall --- Whenever a land enters the battlefield under your control, Akoum Hellkite deals 1 damage to target creature or player. If that land is a Mountain, Akoum Hellkite deals 2 damage to that creature or player instead.",4/4,-,,"Jaime Jones","レア, 戦乱のゼンディカー (139/274) ",-
"アクームの石覚まし/Akoum Stonewaker ","(１)(赤)","クリーチャー — 人間(Human)・シャーマン(Shaman) ","上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、あなたは(２)(赤)を支払ってもよい。そうしたなら、トランプルと速攻を持つ赤の3/1のエレメンタル(Elemental)・クリーチャー・トークンを１体戦場に出す。次の終了ステップの開始時に、そのトークンを追放する。","Landfall --- Whenever a land enters the battlefield under your control, you may pay {2}{R}. If you do, put a 3/1 red Elemental creature token with trample and haste onto the battlefield. Exile that token at the beginning of the next end step.",2/1,-,,"Victor Adame Minguez","アンコモン, 戦乱のゼンディカー (140/274) ",-
"好戦的な鞭尾/Belligerent Whiptail ","(３)(赤)","クリーチャー — ワーム(Wurm) ","上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、ターン終了時まで、好戦的な鞭尾は先制攻撃を得る。","Landfall --- Whenever a land enters the battlefield under your control, Belligerent Whiptail gains first strike until end of turn.",4/2,-,,"Jakub Kasper","コモン, 戦乱のゼンディカー (141/274) ",-
"沸き立つ大地/Boiling Earth ","(１)(赤)","ソーサリー ","沸き立つ大地はあなたの対戦相手がコントロールする各クリーチャーにそれぞれ１点のダメージを与える。覚醒４ ― (６)(赤)（この呪文を(６)(赤)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを４個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）","Boiling Earth deals 1 damage to each creature your opponents control.Awaken 4 --- {6}{R} （If you cast this spell for {6}{R}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Titus Lunter","コモン, 戦乱のゼンディカー (142/274) ",-
"地割れの案内人/Chasm Guide ","(３)(赤)","クリーチャー — ゴブリン(Goblin)・スカウト(Scout)・同盟者(Ally) ","結集 ― 地割れの案内人か他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールするクリーチャーは速攻を得る。","Rally --- Whenever Chasm Guide or another Ally enters the battlefield under your control, creatures you control gain haste until end of turn.",3/2,-,,"Johannes Voss","アンコモン, 戦乱のゼンディカー (143/274) ",-
"竜使いののけ者/Dragonmaster Outcast （りゅうつかいののけもの） ",(赤),"クリーチャー — 人間(Human)・シャーマン(Shaman) ","あなたのアップキープの開始時に、あなたが６つ以上の土地をコントロールしている場合、飛行を持つ赤の5/5のドラゴン(Dragon)・クリーチャー・トークンを１体戦場に出す。","At the beginning of your upkeep, if you control six or more lands, put a 5/5 red Dragon creature token with flying onto the battlefield.",1/1,-,,"Raymond Swanland","神話レア, 戦乱のゼンディカー (144/274) ","BFZ WWK "
"炎套の魔道士/Firemantle Mage ","(２)(赤)","クリーチャー — 人間(Human)・シャーマン(Shaman)・同盟者(Ally) ","結集 ― 炎套の魔道士か他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールするクリーチャーは威迫を得る。（威迫を持つクリーチャーは２体以上のクリーチャーによってしかブロックされない。）","Rally --- Whenever Firemantle Mage or another Ally enters the battlefield under your control, creatures you control gain menace until end of turn. （A creature with menace can't be blocked except by two or more creatures.）",2/2,-,,"Chris Rahn","アンコモン, 戦乱のゼンディカー (145/274) ",-
"ゴブリンの戦化粧/Goblin War Paint （ごぶりんのいくさげしょう） ","(１)(赤)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーは+2/+2の修整を受けるとともに速攻を持つ。（このクリーチャーは、あなたのコントロール下になってすぐに攻撃したり(Ｔ)したりできる。）","Enchant creatureEnchanted creature gets +2/+2 and has haste. （It can attack and {T} no matter when it came under its controller's control.）",-,-,,"Karl Kopinski","コモン, 戦乱のゼンディカー (146/274) ","BFZ M12 ZEN MM2 "
"溶岩足の略奪者/Lavastep Raider ",(赤),"クリーチャー — ゴブリン(Goblin)・戦士(Warrior) ","(２)(赤)：ターン終了時まで、溶岩足の略奪者は+2/+0の修整を受ける。","{2}{R}: Lavastep Raider gets +2/+0 until end of turn.",1/2,-,,"Matt Stewart","コモン, 戦乱のゼンディカー (147/274) ",-
"マキンディの滑り駆け/Makindi Sliderunner ","(１)(赤)","クリーチャー — ビースト(Beast) ","トランプル上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、ターン終了時まで、マキンディの滑り駆けは+1/+1の修整を受ける。","TrampleLandfall --- Whenever a land enters the battlefield under your control, Makindi Sliderunner gets +1/+1 until end of turn.",2/1,-,,"Matt Stewart","コモン, 戦乱のゼンディカー (148/274) ",-
"オンドゥの勇者/Ondu Champion ","(２)(赤)(赤)","クリーチャー — ミノタウルス(Minotaur)・戦士(Warrior)・同盟者(Ally) ","結集 ― オンドゥの勇者か他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールするクリーチャーはトランプルを得る。","Rally --- Whenever Ondu Champion or another Ally enters the battlefield under your control, creatures you control gain trample until end of turn.",4/3,-,,"Volkan Baga","コモン, 戦乱のゼンディカー (149/274) ",-
"多勢/Outnumber ",(赤),"インスタント ","クリーチャー１体を対象とする。多勢はそれに、あなたがコントロールするクリーチャーの総数に等しい点数のダメージを与える。","Outnumber deals damage to target creature equal to the number of creatures you control.",-,-,,"Tyler Jacobson","コモン, 戦乱のゼンディカー (150/274) ",-
"光輝の炎/Radiant Flames ","(２)(赤)","ソーサリー ","収斂 ― 光輝の炎は各クリーチャーにそれぞれＸ点のダメージを与える。Ｘは、光輝の炎を唱えるために支払われたマナの色の総数に等しい。","Converge --- Radiant Flames deals X damage to each creature, where X is the number of colors of mana spent to cast Radiant Flames.",-,-,,"Slawomir Maniak","レア, 戦乱のゼンディカー (151/274) ",-
"命知らずの群勢/Reckless Cohort ","(１)(赤)","クリーチャー — 人間(Human)・戦士(Warrior)・同盟者(Ally) ","あなたが他の同盟者(Ally)をコントロールしていないかぎり、命知らずの群勢は可能なら各戦闘で攻撃する。","Reckless Cohort attacks each combat if able unless you control another Ally.",2/2,-,,"Volkan Baga","コモン, 戦乱のゼンディカー (152/274) ",-
"ヴァラクートへの撤退/Retreat to Valakut ","(２)(赤)","エンチャント ","上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、以下から１つを選ぶ。・クリーチャー１体を対象とする。ターン終了時まで、それは+2/+0の修整を受ける。・クリーチャー１体を対象とする。このターン、それではブロックできない。","Landfall --- Whenever a land enters the battlefield under your control, choose one ---• Target creature gets +2/+0 until end of turn.• Target creature can't block this turn.",-,-,,"Kieran Yanner","アンコモン, 戦乱のゼンディカー (153/274) ",-
"とどろく雷鳴/Rolling Thunder （とどろくらいめい） ",(Ｘ)(赤)(赤),"ソーサリー ","望む数のクリーチャーやプレイヤーを対象とする。とどろく雷鳴はそれらにＸ点のダメージをあなたの望むように分割して与える。","Rolling Thunder deals X damage divided as you choose among any number of target creatures and/or players.",-,-,,"Yohann Schepacz","アンコモン, 戦乱のゼンディカー (154/274) ","BFZ TMP HOP _BR "
"髑髏砕きの補充兵/Shatterskull Recruit ","(３)(赤)(赤)","クリーチャー — 巨人(Giant)・戦士(Warrior)・同盟者(Ally) ","威迫（このクリーチャーは２体以上のクリーチャーによってしかブロックされない。）","Menace （This creature can't be blocked except by two or more creatures.）",4/4,-,,"David Palumbo","コモン, 戦乱のゼンディカー (155/274) ",-
"石の怒り/Stonefury ","(３)(赤)(赤)","インスタント ","クリーチャー１体を対象とする。石の怒りはそれに、あなたがコントロールする土地の総数に等しい点数のダメージを与える。","Stonefury deals damage to target creature equal to the number of lands you control.",-,-,,"Chris Rallis","コモン, 戦乱のゼンディカー (156/274) ",-
"確実な一撃/Sure Strike ","(１)(赤)","インスタント ","クリーチャー１体を対象とする。ターン終了時まで、それは+3/+0の修整を受けるとともに先制攻撃を得る。","Target creature gets +3/+0 and gains first strike until end of turn.",-,-,,"Jakub Kasper","コモン, 戦乱のゼンディカー (157/274) ",-
"穴掘り土百足/Tunneling Geopede ","(２)(赤)","クリーチャー — 昆虫(Insect) ","上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、穴掘り土百足は各対戦相手にそれぞれ１点のダメージを与える。","Landfall --- Whenever a land enters the battlefield under your control, Tunneling Geopede deals 1 damage to each opponent.",3/2,-,,"Tomasz Jedruszek","アンコモン, 戦乱のゼンディカー (158/274) ",-
"ヴァラクートの発動者/Valakut Invoker ","(２)(赤)","クリーチャー — 人間(Human)・シャーマン(Shaman) ","(８)：クリーチャー１体かプレイヤー１人を対象とする。ヴァラクートの発動者はそれに３点のダメージを与える。","{8}: Valakut Invoker deals 3 damage to target creature or player.",2/3,-,,"Joseph Meehan","コモン, 戦乱のゼンディカー (159/274) ",-
"ヴァラクートの捕食者/Valakut Predator ","(２)(赤)","クリーチャー — エレメンタル(Elemental) ","上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、ターン終了時まで、ヴァラクートの捕食者は+2/+2の修整を受ける。","Landfall --- Whenever a land enters the battlefield under your control, Valakut Predator gets +2/+2 until end of turn.",2/2,-,,"Kev Walker","コモン, 戦乱のゼンディカー (160/274) ",-
"火山の隆起/Volcanic Upheaval ","(３)(赤)","インスタント ","土地１つを対象とし、それを破壊する。","Destroy target land.",-,-,,"Yeong-Hao Han","コモン, 戦乱のゼンディカー (161/274) ",-
"面晶体の掘削者、ザダ/Zada, Hedron Grinder ","(３)(赤)","伝説のクリーチャー — ゴブリン(Goblin)・同盟者(Ally) ","あなたが面晶体の掘削者、ザダのみを対象とするインスタント呪文かソーサリー呪文を１つ唱えるたび、その呪文が対象にできるあなたがコントロールする他のクリーチャー１体につき、その呪文を１回コピーする。各コピーは、それらのクリーチャーのうち別々のものを対象とする。","Whenever you cast an instant or sorcery spell that targets only Zada, Hedron Grinder, copy that spell for each other creature you control that the spell could target. Each copy targets a different one of those creatures.",3/3,-,,"Chris Rallis","レア, 戦乱のゼンディカー (162/274) ",-
"膨れ鞘/Blisterpod ","(緑)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）膨れ鞘が死亡したとき、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。","Devoid （This card has no color.）When Blisterpod dies, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has ""Sacrifice this creature: Add {1} to your mana pool.""",1/1,-,,"Ryan Barger","コモン, 戦乱のゼンディカー (163/274) ",-
"血統の観察者/Brood Monitor ","(４)(緑)(緑)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）血統の観察者が戦場に出たとき、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを３体戦場に出す。それらは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。","Devoid （This card has no color.）When Brood Monitor enters the battlefield, put three 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have ""Sacrifice this creature: Add {1} to your mana pool.""",3/3,-,,Izzy,"アンコモン, 戦乱のゼンディカー (164/274) ",-
"末裔の呼び出し/Call the Scions ","(２)(緑)","ソーサリー ","欠色（このカードは無色である。）無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを２体戦場に出す。それらは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。","Devoid （This card has no color.）Put two 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have ""Sacrifice this creature: Add {1} to your mana pool.""",-,-,,"Winona Nelson","コモン, 戦乱のゼンディカー (165/274) ",-
"目なしの見張り/Eyeless Watcher ","(３)(緑)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）目なしの見張りが戦場に出たとき、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを２体戦場に出す。それらは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。","Devoid （This card has no color.）When Eyeless Watcher enters the battlefield, put two 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have ""Sacrifice this creature: Add {1} to your mana pool.""",1/1,-,,"Yohann Schepacz","コモン, 戦乱のゼンディカー (166/274) ",-
"彼方より/From Beyond ","(３)(緑)","エンチャント ","欠色（このカードは無色である。）あなたのアップキープの開始時に、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。(１)(緑),彼方よりを生け贄に捧げる：あなたのライブラリーからエルドラージ・カードを１枚探し、それを公開してあなたの手札に加え、その後あなたのライブラリーを切り直す。","Devoid （This card has no color.）At the beginning of your upkeep, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has ""Sacrifice this creature: Add {1} to your mana pool.""{1}{G}, Sacrifice From Beyond: Search your library for an Eldrazi card, reveal it, put it into your hand, then shuffle your library.",-,-,,"Mathias Kollros","レア, 戦乱のゼンディカー (167/274) ",-
"異常な攻撃性/Unnatural Aggression ","(２)(緑)","インスタント ","欠色（このカードは無色である。）あなたがコントロールするクリーチャー１体と対戦相手がコントロールするクリーチャー１体を対象とする。その前者はその後者と格闘を行う。このターンにその後者が死亡するなら、代わりにそれを追放する。","Devoid （This card has no color.）Target creature you control fights target creature an opponent controls. If the creature an opponent controls would die this turn, exile it instead.",-,-,,"James Ryman","コモン, 戦乱のゼンディカー (168/274) ",-
"虚空の従者/Void Attendant ","(２)(緑)","クリーチャー — エルドラージ(Eldrazi)・昇華者(Processor) ","欠色（このカードは無色である。）(１)(緑),追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置く：無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。","Devoid （This card has no color.）{1}{G}, Put a card an opponent owns from exile into that player's graveyard: Put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has ""Sacrifice this creature: Add {1} to your mana pool.""",2/3,-,,"Viktor Titov","アンコモン, 戦乱のゼンディカー (169/274) ",-
"獣呼びの学者/Beastcaller Savant ","(１)(緑)","クリーチャー — エルフ(Elf)・シャーマン(Shaman)・同盟者(Ally) ","速攻(Ｔ)：あなたのマナ・プールに好きな色１色のマナ１点を加える。このマナは、クリーチャー呪文を唱えるためにのみ使用できる。","Haste{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell.",1/1,-,,"Anthony Palumbo","レア, 戦乱のゼンディカー (170/274) ",-
"血統絶やしのワーム/Broodhunter Wurm ","(３)(緑)","クリーチャー — ワーム(Wurm) ",,,4/3,-,,"Svetlin Velinov","コモン, 戦乱のゼンディカー (171/274) ",-
"大地の武装/Earthen Arms ","(１)(緑)","ソーサリー ","パーマネント１つを対象とし、それの上に+1/+1カウンターを２個置く。覚醒４ ― (６)(緑)（この呪文を(６)(緑)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを４個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）","Put two +1/+1 counters on target permanent.Awaken 4 --- {6}{G} （If you cast this spell for {6}{G}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Dan Scott","コモン, 戦乱のゼンディカー (172/274) ",-
"大カマキリ/Giant Mantis （おおかまきり） ","(３)(緑)","クリーチャー — 昆虫(Insect) ","到達（このクリーチャーは飛行を持つクリーチャーをブロックできる。）","Reach （This creature can block creatures with flying.）",2/4,-,,"Lake Hurwitz","コモン, 戦乱のゼンディカー (173/274) ","BFZ MIR "
"ムラーサの緑守り/Greenwarden of Murasa ","(４)(緑)(緑)","クリーチャー — エレメンタル(Elemental) ","ムラーサの緑守りが戦場に出たとき、あなたの墓地からカード１枚を対象とする。あなたはそれをあなたの手札に戻してもよい。ムラーサの緑守りが死亡したとき、あなたの墓地からカード１枚を対象とする。あなたはムラーサの緑守りを追放してもよい。そうしたなら、それをあなたの手札に戻す。","When Greenwarden of Murasa enters the battlefield, you may return target card from your graveyard to your hand.When Greenwarden of Murasa dies, you may exile it. If you do, return target card from your graveyard to your hand.",5/4,-,,"Eric Deschamps","神話レア, 戦乱のゼンディカー (174/274) ",-
"大自然の注入/Infuse with the Elements ","(３)(緑)","インスタント ","収斂 ― クリーチャー１体を対象とし、それの上に+1/+1カウンターをＸ個置く。Ｘは、大自然の注入を唱えるために支払われたマナの色の総数に等しい。ターン終了時まで、そのクリーチャーはトランプルを得る。","Converge --- Put X +1/+1 counters on target creature, where X is the number of colors of mana spent to cast Infuse with the Elements. That creature gains trample until end of turn.",-,-,,"Daniel Ljunggren","アンコモン, 戦乱のゼンディカー (175/274) ",-
"ジャディの横枝/Jaddi Offshoot ","(緑)","クリーチャー — 植物(Plant) ","防衛上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、あなたは１点のライフを得る。","DefenderLandfall --- Whenever a land enters the battlefield under your control, you gain 1 life.",0/3,-,,Daarken,"アンコモン, 戦乱のゼンディカー (176/274) ",-
"生命湧きのドルイド/Lifespring Druid ","(２)(緑)","クリーチャー — エルフ(Elf)・ドルイド(Druid) ","(Ｔ)：あなたのマナ・プールに、好きな色１色のマナ１点を加える。","{T}: Add one mana of any color to your mana pool.",2/1,-,,"Willian Murai","コモン, 戦乱のゼンディカー (177/274) ",-
