"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"灼熱の血/Searing Blood （しゃくねつのち） ",(赤)(赤),"インスタント ","クリーチャー１体を対象とする。灼熱の血はそれに２点のダメージを与える。このターン、そのクリーチャーが死亡したとき、灼熱の血はそのクリーチャーのコントローラーに３点のダメージを与える。","Searing Blood deals 2 damage to target creature. When that creature dies this turn, Searing Blood deals 3 damage to the creature's controller.",-,-,,"Daniel Ljunggren","アンコモン, 神々の軍勢 (111/165) ",-
"ケラノスの嵐呼び/Stormcaller of Keranos （けらのすのあらしよび） ","(２)(赤)","クリーチャー — 人間(Human)・シャーマン(Shaman) ","速攻(１)(青)：占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）","Haste{1}{U}: Scry 1. （Look at the top card of your library. You may put that card on the bottom of your library.）",2/2,-,,"Marco Nelor","アンコモン, 神々の軍勢 (112/165) ",-
"雷の粗暴者/Thunder Brute （かみなりのそぼうしゃ） ","(４)(赤)(赤)","クリーチャー — サイクロプス(Cyclops) ","トランプル貢納３（このクリーチャーが戦場に出るに際し、あなたの望む対戦相手１人はこれの上に+1/+1カウンターを３個置いてもよい。）雷の粗暴者が戦場に出たとき、貢納が支払われていない場合、これはターン終了時まで速攻を得る。","TrampleTribute 3 （As this creature enters the battlefield, an opponent of your choice may place three +1/+1 counters on it.）When Thunder Brute enters the battlefield, if tribute wasn't paid, it gains haste until end of turn.",5/5,-,,"Phill Simmer","アンコモン, 神々の軍勢 (113/165) ",-
"雷撃の威力/Thunderous Might （らいげきのいりょく） ","(１)(赤)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーが攻撃するたび、それはターン終了時まで+X/+0の修整を受ける。Ｘはあなたの赤への信心である。（あなたの赤への信心は、あなたがコントロールするパーマネントのマナ・コストに含まれる(赤)の数に等しい。）","Enchant creatureWhenever enchanted creature attacks, it gets +X/+0 until end of turn, where X is your devotion to red. （Each {R} in the mana costs of permanents you control counts toward your devotion to red.）",-,-,,"Jaime Jones","アンコモン, 神々の軍勢 (114/165) ",-
"運命の気まぐれ/Whims of the Fates （うんめいのきまぐれ） ","(５)(赤)","ソーサリー ","あなたから始めて、各プレイヤーは自分がコントロールするすべてのパーマネントを３つの束に分ける。その後、各プレイヤーは自分の束を１つ無作為に選び、その束にあるすべてのパーマネントを生け贄に捧げる。（束の枚数はゼロでも構わない。）","Starting with you, each player separates all permanents he or she controls into three piles. Then each player chooses one of his or her piles at random and sacrifices those permanents. （Piles can be empty.）",-,-,,"Seb McKinnon","レア, 神々の軍勢 (115/165) ",-
"忍耐の元型/Archetype of Endurance （にんたいのげんけい） ","(６)(緑)(緑)","クリーチャー・エンチャント — 猪(Boar) ","あなたがコントロールするクリーチャーは呪禁を持つ。あなたの対戦相手がコントロールするクリーチャーは呪禁を失うとともに、呪禁を持つことも得ることもできない。","Creatures you control have hexproof.Creatures your opponents control lose hexproof and can't have or gain hexproof.",6/5,-,,"Slawomir Maniak","アンコモン, 神々の軍勢 (116/165) ",-
"ハイドラの血/Aspect of Hydra （はいどらのち） ","(緑)","インスタント ","クリーチャー１体を対象とする。それはターン終了時まで+X/+Xの修整を受ける。Ｘはあなたの緑への信心である。（あなたの緑への信心は、あなたがコントロールするパーマネントのマナ・コストに含まれる(緑)の数に等しい。）","Target creature gets +X/+X until end of turn, where X is your devotion to green. （Each {G} in the mana costs of permanents you control counts toward your devotion to green.）",-,-,,"Mark Winters","コモン, 神々の軍勢 (117/165) ",-
"突進するアナグマ/Charging Badger （とっしんするあなぐま） ","(緑)","クリーチャー — アナグマ(Badger) ","トランプル",Trample,1/1,-,,"Raoul Vitale","コモン, 神々の軍勢 (118/165) ",-
"クルフィックスの狩猟者/Courser of Kruphix （くるふぃっくすのしゅりょうしゃ） ","(１)(緑)(緑)","クリーチャー・エンチャント — ケンタウルス(Centaur) ","あなたのライブラリーの一番上のカードを公開したままプレイする。あなたのライブラリーの一番上のカードが土地カードであるなら、あなたはそれをプレイしてもよい。土地が１つあなたのコントロール下で戦場に出るたび、あなたは１点のライフを得る。","Play with the top card of your library revealed.You may play the top card of your library if it's a land card.Whenever a land enters the battlefield under your control, you gain 1 life.",2/4,-,,"Eric Deschamps","レア, 神々の軍勢 (119/165) ",-
"選別の印/Culling Mark （せんべつのしるし） ","(２)(緑)","ソーサリー ","クリーチャー１体を対象とする。このターン、それは可能ならブロックする。","Target creature blocks this turn if able.",-,-,,"Tomasz Jedruszek","コモン, 神々の軍勢 (120/165) ",-
"宿命的介入/Fated Intervention （しゅくめいてきかいにゅう） ","(２)(緑)(緑)(緑)","インスタント ","緑の3/3のケンタウルス(Centaur)・クリーチャー・エンチャント・トークンを２体戦場に出す。あなたのターンであるなら、占術２を行う。（あなたのライブラリーの一番上から２枚のカードを見て、そのうちの望む枚数のカードを望む順番であなたのライブラリーの一番下に置き、残りを望む順番で一番上に置く。）","Put two 3/3 green Centaur enchantment creature tokens onto the battlefield. If it's your turn, scry 2. （Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.）",-,-,,"Svetlin Velinov","レア, 神々の軍勢 (121/165) ",-
"墓荒らし蜘蛛/Graverobber Spider （はかあらしぐも） ","(３)(緑)","クリーチャー — 蜘蛛(Spider) ","到達(３)(黒)：墓荒らし蜘蛛はターン終了時まで+X/+Xの修整を受ける。Ｘはあなたの墓地にあるクリーチャー・カードの数である。この能力は、毎ターン１回のみ起動できる。","Reach{3}{B}: Graverobber Spider gets +X/+X until end of turn, where X is the number of creature cards in your graveyard. Activate this ability only once each turn.",2/4,-,,"Richard Wright","アンコモン, 神々の軍勢 (122/165) ",-
"レイナ塔の英雄/Hero of Leina Tower （れいなとうのえいゆう） ","(緑)","クリーチャー — 人間(Human)・戦士(Warrior) ","英雄的 ― あなたがレイナ塔の英雄を対象とする呪文を１つ唱えるたび、あなたは(Ｘ)を支払ってもよい。そうしたなら、レイナ塔の英雄の上に+1/+1カウンターをＸ個置く。","Heroic --- Whenever you cast a spell that targets Hero of Leina Tower, you may pay {X}. If you do, put X +1/+1 counters on Hero of Leina Tower.",1/1,-,,"Aaron Miller","レア, 神々の軍勢 (123/165) ",-
"狩人の勇気/Hunter's Prowess （かりゅうどのゆうき） ","(４)(緑)","ソーサリー ","クリーチャー１体を対象とする。それはターン終了時まで+3/+3の修整を受けるとともに、トランプルと「このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、その点数に等しい枚数のカードを引く。」を得る。","Until end of turn, target creature gets +3/+3 and gains trample and ""Whenever this creature deals combat damage to a player, draw that many cards.""",-,-,,"Greg Staples","レア, 神々の軍勢 (124/165) ",-
"ケイラメトラの好意/Karametra's Favor （けいらめとらのこうい） ","(１)(緑)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）ケイラメトラの好意が戦場に出たとき、カードを１枚引く。エンチャントされているクリーチャーは「(Ｔ)：あなたのマナ・プールに好きな色１色のマナ１点を加える。」を持つ。","Enchant creatureWhen Karametra's Favor enters the battlefield, draw a card.Enchanted creature has ""{T}: Add one mana of any color to your mana pool.""",-,-,,"Chase Stone","コモン, 神々の軍勢 (125/165) ",-
"悪戯と騒乱/Mischief and Mayhem （いたずらとそうらん） ","(４)(緑)","ソーサリー ","クリーチャーを最大２体まで対象とする。それらはターン終了時までそれぞれ+4/+4の修整を受ける。","Up to two target creatures each get +4/+4 until end of turn.",-,-,,"Zack Stella","アンコモン, 神々の軍勢 (126/165) ",-
"定命の者の決意/Mortal's Resolve （じょうみょうのもののけつい） ","(１)(緑)","インスタント ","クリーチャー１体を対象とする。それはターン終了時まで、+1/+1の修整を受けるとともに破壊不能を得る。（ダメージや「破壊する」効果では、それは破壊されない。）","Target creature gets +1/+1 and gains indestructible until end of turn. （Damage and effects that say ""destroy"" don't destroy it.）",-,-,,"Svetlin Velinov","コモン, 神々の軍勢 (127/165) ",-
"ネシアンのデモロク/Nessian Demolok （ねしあんのでもろく） ","(３)(緑)(緑)","クリーチャー — ビースト(Beast) ","貢納３（このクリーチャーが戦場に出るに際し、あなたの望む対戦相手１人はこれの上に+1/+1カウンターを３個置いてもよい。）ネシアンのデモロクが戦場に出たとき、貢納が支払われていない場合、クリーチャーでないパーマネント１つを対象とし、それを破壊する。","Tribute 3 （As this creature enters the battlefield, an opponent of your choice may place three +1/+1 counters on it.）When Nessian Demolok enters the battlefield, if tribute wasn't paid, destroy target noncreature permanent.",3/3,-,,Daarken,"アンコモン, 神々の軍勢 (128/165) ",-
"ネシアン未開地の荒廃者/Nessian Wilds Ravager （ねしあんみかいちのこうはいしゃ） ","(４)(緑)(緑)","クリーチャー — ハイドラ(Hydra) ","貢納６（このクリーチャーが戦場に出るに際し、あなたの望む対戦相手１人はこれの上に+1/+1カウンターを６個置いてもよい。）ネシアン未開地の荒廃者が戦場に出たとき、貢納が支払われていない場合、他のクリーチャー１体を対象とする。あなたは「ネシアン未開地の荒廃者はそれと格闘を行う」ことを選んでもよい。（それぞれはもう一方に自身のパワーに等しい点数のダメージを与える。）","Tribute 6 （As this creature enters the battlefield, an opponent of your choice may place six +1/+1 counters on it.）When Nessian Wilds Ravager enters the battlefield, if tribute wasn't paid, you may have Nessian Wilds Ravager fight another target creature. （Each deals damage equal to its power to the other.）",6/6,-,,"Richard Wright","レア, 神々の軍勢 (129/165) ",-
"気高き獲物/Noble Quarry （けだかきえもの） ","(２)(緑)","クリーチャー・エンチャント — ユニコーン(Unicorn) ","授与(５)(緑)（このカードを授与コストで唱えた場合、これはエンチャント（クリーチャー）を持つオーラ(Aura)呪文である。クリーチャーにつけられていない場合、これは再びクリーチャーになる。）気高き獲物またはエンチャントされているクリーチャーをブロックできるすべてのクリーチャーはそれをブロックする。エンチャントされているクリーチャーは+1/+1の修整を受ける。","Bestow {5}{G} （If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.）All creatures able to block Noble Quarry or enchanted creature do so.Enchanted creature gets +1/+1.",1/1,-,,"Michael C. Hayes","アンコモン, 神々の軍勢 (130/165) ",-
"ニクス生まれの狼/Nyxborn Wolf （にくすうまれのおおかみ） ","(２)(緑)","クリーチャー・エンチャント — 狼(Wolf) ","授与(４)(緑)（このカードを授与コストで唱えた場合、これはエンチャント（クリーチャー）を持つオーラ(Aura)呪文である。クリーチャーにつけられていない場合、これは再びクリーチャーになる。）エンチャントされているクリーチャーは+3/+1の修整を受ける。","Bestow {4}{G} （If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.）Enchanted creature gets +3/+1.",3/1,-,,"Lucas Graciano","コモン, 神々の軍勢 (131/165) ",-
"流浪/Peregrination （るろう） ","(３)(緑)","ソーサリー ","あなたのライブラリーから基本土地カードを最大２枚まで探し、それらのカードを公開し、１枚をタップ状態で戦場に出し、もう１枚をあなたの手札に加える。あなたのライブラリーを切り直し、その後占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）","Search your library for up to two basic land cards, reveal those cards, and put one onto the battlefield tapped and the other into your hand. Shuffle your library, then scry 1. （Look at the top card of your library. You may put that card on the bottom of your library.）",-,-,,"Jonas De Ro","アンコモン, 神々の軍勢 (132/165) ",-
"フィーリーズ団の略奪者/Pheres-Band Raiders （ふぃりーずだんのりゃくだつしゃ） ","(５)(緑)","クリーチャー — ケンタウルス(Centaur)・戦士(Warrior) ","神啓 ― フィーリーズ団の略奪者がアンタップ状態になるたび、あなたは(２)(緑)を支払ってもよい。そうしたなら、緑の3/3のケンタウルス(Centaur)・クリーチャー・エンチャント・トークンを１体戦場に出す。","Inspired --- Whenever Pheres-Band Raiders becomes untapped, you may pay {2}{G}. If you do, put a 3/3 green Centaur enchantment creature token onto the battlefield.",5/5,-,,"Ryan Barger","アンコモン, 神々の軍勢 (133/165) ",-
"フィーリーズ団の精鋭兵/Pheres-Band Tromper （ふぃりーずだんのせいえいへい） ","(３)(緑)","クリーチャー — ケンタウルス(Centaur)・戦士(Warrior) ","神啓 ― フィーリーズ団の精鋭兵がアンタップ状態になるたび、これの上に+1/+1カウンターを１個置く。","Inspired --- Whenever Pheres-Band Tromper becomes untapped, put a +1/+1 counter on it.",3/3,-,,"Volkan Baga","コモン, 神々の軍勢 (134/165) ",-
"狼育ち/Raised by Wolves （おおかみそだち） ","(３)(緑)(緑)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）狼育ちが戦場に出たとき、緑の2/2の狼(Wolf)クリーチャー・トークンを２体戦場に出す。エンチャントされているクリーチャーは、あなたがコントロールする狼１体につき+1/+1の修整を受ける。","Enchant creatureWhen Raised by Wolves enters the battlefield, put two 2/2 green Wolf creature tokens onto the battlefield.Enchanted creature gets +1/+1 for each Wolf you control.",-,-,,"Raymond Swanland","アンコモン, 神々の軍勢 (135/165) ",-
"サテュロスの道探し/Satyr Wayfinder （さてゅろすのみちさがし） ","(１)(緑)","クリーチャー — サテュロス(Satyr) ","サテュロスの道探しが戦場に出たとき、あなたのライブラリーの一番上から４枚のカードを公開する。あなたは、それらの中から土地カードを１枚あなたの手札に加えてもよい。残りをあなたの墓地に置く。","When Satyr Wayfinder enters the battlefield, reveal the top four cards of your library. You may put a land card from among them into your hand. Put the rest into your graveyard.",1/1,-,,"Steve Prescott","コモン, 神々の軍勢 (136/165) ","M15 BNG "
"スコラ谷の災い/Scourge of Skola Vale （すこらだにのわざわい） ","(２)(緑)","クリーチャー — ハイドラ(Hydra) ","トランプルスコラ谷の災いは+1/+1カウンターが２個置かれた状態で戦場に出る。(Ｔ),他のクリーチャーを１体生け贄に捧げる：スコラ谷の災いの上に、その生け贄に捧げられたクリーチャーのタフネスに等しい数の+1/+1カウンターを置く。","TrampleScourge of Skola Vale enters the battlefield with two +1/+1 counters on it.{T}, Sacrifice another creature: Put a number of +1/+1 counters on Scourge of Skola Vale equal to the sacrificed creature's toughness.",0/0,-,,"Dave Kendall","レア, 神々の軍勢 (137/165) ",-
"セテッサの誓約者/Setessan Oathsworn （せてっさのせいやくしゃ） ","(１)(緑)(緑)","クリーチャー — サテュロス(Satyr)・戦士(Warrior) ","英雄的 ― あなたがセテッサの誓約者を対象とする呪文を１つ唱えるたび、セテッサの誓約者の上に+1/+1カウンターを２個置く。","Heroic --- Whenever you cast a spell that targets Setessan Oathsworn, put two +1/+1 counters on Setessan Oathsworn.",1/1,-,,"Scott Murphy","コモン, 神々の軍勢 (138/165) ",-
"セテッサの星砕き/Setessan Starbreaker （せてっさのほしくだき） ","(３)(緑)","クリーチャー — 人間(Human)・戦士(Warrior) ","セテッサの星砕きが戦場に出たとき、オーラ(Aura)１つを対象とする。あなたはそれを破壊してもよい。","When Setessan Starbreaker enters the battlefield, you may destroy target Aura.",2/1,-,,"Chase Stone","コモン, 神々の軍勢 (139/165) ",-
"空掃き/Skyreaping （そらはき） ","(１)(緑)","ソーサリー ","空掃きは飛行を持つ各クリーチャーに、それぞれあなたの緑への信心に等しい点数のダメージを与える。（あなたの緑への信心は、あなたがコントロールするパーマネントのマナ・コストに含まれる(緑)の数に等しい。）","Skyreaping deals damage to each creature with flying equal to your devotion to green. （Each {G} in the mana costs of permanents you control counts toward your devotion to green.）",-,-,,"Seb McKinnon","アンコモン, 神々の軍勢 (140/165) ",-
"黄金の木立ちの蛇/Snake of the Golden Grove （おうごんのこだちのへび） ","(４)(緑)","クリーチャー — 蛇(Snake) ","貢納３（このクリーチャーが戦場に出るに際し、あなたの望む対戦相手１人はこれの上に+1/+1カウンターを３個置いてもよい。）黄金の木立ちの蛇が戦場に出たとき、貢納が支払われていない場合、あなたは４点のライフを得る。","Tribute 3 （As this creature enters the battlefield, an opponent of your choice may place three +1/+1 counters on it.）When Snake of the Golden Grove enters the battlefield, if tribute wasn't paid, you gain 4 life.",4/4,-,,"Mathias Kollros","コモン, 神々の軍勢 (141/165) ",-
"ケンタウルスの武芸者/Swordwise Centaur （けんたうるすのぶげいしゃ） ","(緑)(緑)","クリーチャー — ケンタウルス(Centaur)・戦士(Warrior) ",,,3/2,-,,"Slawomir Maniak","コモン, 神々の軍勢 (142/165) ",-
"霊気のほころび/Unravel the AEther （れいきのほころび） ","(１)(緑)","インスタント ","アーティファクト１つかエンチャント１つを対象とする。それのオーナーは、それを自分のライブラリーに加えて切り直す。","Choose target artifact or enchantment. Its owner shuffles it into his or her library.",-,-,,"Jung Park","アンコモン, 神々の軍勢 (143/165) ",-
"彩色マンティコア/Chromanticore （さいしょくまんてぃこあ） ","(白)(青)(黒)(赤)(緑)","クリーチャー・エンチャント — マンティコア(Manticore) ","授与(２)(白)(青)(黒)(赤)(緑)（このカードを授与コストで唱えた場合、これはエンチャント（クリーチャー）を持つオーラ(Aura)呪文である。クリーチャーにつけられていない場合、これは再びクリーチャーになる。）飛行、先制攻撃、警戒、トランプル、絆魂エンチャントされているクリーチャーは+4/+4の修整を受けるとともに飛行と先制攻撃と警戒とトランプルと絆魂を持つ。","Bestow {2}{W}{U}{B}{R}{G} （If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.）Flying, first strike, vigilance, trample, lifelinkEnchanted creature gets +4/+4 and has flying, first strike, vigilance, trample, and lifelink.",4/4,-,,"Min Yum","神話レア, 神々の軍勢 (144/165) ",-
"都市国家の神、エファラ/Ephara, God of the Polis （としこっかのかみえふぁら） ","(２)(白)(青)","伝説のクリーチャー・エンチャント — 神(God) ","破壊不能あなたの白と青への信心が７未満であるかぎり、都市国家の神、エファラはクリーチャーではない。各アップキープの開始時に、その直前のターンにあなたがあなたのコントロール下で他のクリーチャーを戦場に出していた場合、カードを１枚引く。","IndestructibleAs long as your devotion to white and blue is less than seven, Ephara isn't a creature.At the beginning of each upkeep, if you had another creature enter the battlefield under your control last turn, draw a card.",6/5,-,,"Eric Deschamps","神話レア, 神々の軍勢 (145/165) ",-
"エファラの啓蒙/Ephara's Enlightenment （えふぁらのけいもう） ","(１)(白)(青)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エファラの啓蒙が戦場に出たとき、エンチャントされているクリーチャーの上に+1/+1カウンターを１個置く。エンチャントされているクリーチャーは飛行を持つ。クリーチャーが１体あなたのコントロール下で戦場に出るたび、あなたはエファラの啓蒙をオーナーの手札に戻してもよい。","Enchant creatureWhen Ephara's Enlightenment enters the battlefield, put a +1/+1 counter on enchanted creature.Enchanted creature has flying.Whenever a creature enters the battlefield under your control, you may return Ephara's Enlightenment to its owner's hand.",-,-,,"Wesley Burt","アンコモン, 神々の軍勢 (146/165) ",-
"ゼナゴスの狂信者/Fanatic of Xenagos （ぜなごすのきょうしんしゃ） ","(１)(赤)(緑)","クリーチャー — ケンタウルス(Centaur)・戦士(Warrior) ","トランプル貢納１（このクリーチャーが戦場に出るに際し、あなたの望む対戦相手１人はこれの上に+1/+1カウンターを１個置いてもよい。）ゼナゴスの狂信者が戦場に出たとき、貢納が支払われていない場合、これはターン終了時まで+1/+1の修整を受けるとともに速攻を得る。","TrampleTribute 1 （As this creature enters the battlefield, an opponent of your choice may place a +1/+1 counter on it.）When Fanatic of Xenagos enters the battlefield, if tribute wasn't paid, it gets +1/+1 and gains haste until end of turn.",3/3,-,,"Volkan Baga","アンコモン, 神々の軍勢 (147/165) ",-
"収穫の神、ケイラメトラ/Karametra, God of Harvests （しゅうかくのかみけいらめとら） ","(３)(緑)(白)","伝説のクリーチャー・エンチャント — 神(God) ","破壊不能あなたの緑と白への信心が７未満であるかぎり、収穫の神、ケイラメトラはクリーチャーではない。あなたがクリーチャー呪文を１つ唱えるたび、あなたはあなたのライブラリーから森(Forest)カード１枚か平地(Plains)カード１枚を探してもよい。そうしたなら、それをタップ状態で戦場に出し、その後あなたのライブラリーを切り直す。","IndestructibleAs long as your devotion to green and white is less than seven, Karametra isn't a creature.Whenever you cast a creature spell, you may search your library for a Forest or Plains card, put it onto the battlefield tapped, then shuffle your library.",6/7,-,,"Eric Deschamps","神話レア, 神々の軍勢 (148/165) ",-
"荒ぶる波濤、キオーラ/Kiora, the Crashing Wave （あらぶるはとうきおーら） ","(２)(緑)(青)","プレインズウォーカー — キオーラ(Kiora) ","[+1]：対戦相手がコントロールするパーマネント１つを対象とする。あなたの次のターンまで、それに与えられるすべてのダメージとそれが与えるすべてのダメージを軽減する。[-1]：カードを１枚引く。このターン、あなたは追加で土地を１つプレイしてもよい。[-5]：あなたは「あなたの終了ステップの開始時に、青の9/9のクラーケン(Kraken)・クリーチャー・トークンを１体戦場に出す。」を持つ紋章を得る。","+1: Until your next turn, prevent all damage that would be dealt to and dealt by target permanent an opponent controls.-1: Draw a card. You may play an additional land this turn.-5: You get an emblem with ""At the beginning of your end step, put a 9/9 blue Kraken creature token onto the battlefield.""",-,2,,"Scott M. Fischer","神話レア, 神々の軍勢 (149/165) ",-
"キオーラの追随者/Kiora's Follower （きおーらのついずいしゃ） ","(緑)(青)","クリーチャー — マーフォーク(Merfolk) ","(Ｔ)：他のパーマネント１つを対象とし、それをアンタップする。","{T}: Untap another target permanent.",2/2,-,,"Eric Deschamps","アンコモン, 神々の軍勢 (150/165) ",-
"殺戮の神、モーギス/Mogis, God of Slaughter （さつりくのかみもーぎす） ","(２)(黒)(赤)","伝説のクリーチャー・エンチャント — 神(God) ","破壊不能あなたの黒と赤への信心が７未満であるかぎり、殺戮の神、モーギスはクリーチャーではない。各対戦相手のアップキープの開始時に、そのプレイヤーがクリーチャー１体を生け贄に捧げないかぎり、殺戮の神、モーギスはそのプレイヤーに２点のダメージを与える。","IndestructibleAs long as your devotion to black and red is less than seven, Mogis isn't a creature.At the beginning of each opponent's upkeep, Mogis deals 2 damage to that player unless he or she sacrifices a creature.",7/5,-,,"Peter Mohrbacher","神話レア, 神々の軍勢 (151/165) ",-
"欺瞞の神、フィナックス/Phenax, God of Deception （ぎまんのかみふぃなっくす） ","(３)(青)(黒)","伝説のクリーチャー・エンチャント — 神(God) ","破壊不能あなたの青と黒への信心が７未満であるかぎり、欺瞞の神、フィナックスはクリーチャーではない。あなたがコントロールするクリーチャーは「(Ｔ)：プレイヤー１人を対象とする。そのプレイヤーは、自分のライブラリーの一番上からＸ枚のカードを自分の墓地に置く。Ｘはこのクリーチャーのタフネスである。」を持つ。","IndestructibleAs long as your devotion to blue and black is less than seven, Phenax isn't a creature.Creatures you control have ""{T}: Target player puts the top X cards of his or her library into his or her graveyard, where X is this creature's toughness.""",4/7,-,,"Ryan Barger","神話レア, 神々の軍勢 (152/165) ",-
"憤怒売り/Ragemonger （ふんぬうり） ","(１)(黒)(赤)","クリーチャー — ミノタウルス(Minotaur)・シャーマン(Shaman) ","あなたが唱えるミノタウルス(Minotaur)呪文は、それを唱えるためのコストが(黒)(赤)少なくなる。この効果は、あなたが支払う色マナの数のみを減らす。（たとえば、マナ・コストが(２)(赤)のミノタウルス呪文を唱えるなら、それを唱えるためのコストは(２)となる。）","Minotaur spells you cast cost {B}{R} less to cast. This effect reduces only the amount of colored mana you pay. （For example, if you cast a Minotaur spell with mana cost {2}{R}, it costs {2} to cast.）",2/3,-,,"Karl Kopinski","アンコモン, 神々の軍勢 (153/165) ",-
"蒔かれたものの収穫/Reap What Is Sown （まかれたもののしゅうかく） ","(１)(緑)(白)","インスタント ","クリーチャーを最大３体まで対象とし、それらの上にそれぞれ+1/+1カウンターを１個置く。","Put a +1/+1 counter on each of up to three target creatures.",-,-,,"Cynthia Sheppard","アンコモン, 神々の軍勢 (154/165) ",-
"静寂の歌のセイレーン/Siren of the Silent Song （せいじゃくのうたのせいれーん） ","(１)(青)(黒)","クリーチャー — ゾンビ(Zombie)・セイレーン(Siren) ","飛行神啓 ― 静寂の歌のセイレーンがアンタップ状態になるたび、各対戦相手はそれぞれカードを１枚捨て、その後自分のライブラリーの一番上のカードを自分の墓地に置く。","FlyingInspired --- Whenever Siren of the Silent Song becomes untapped, each opponent discards a card, then puts the top card of his or her library into his or her graveyard.",2/1,-,,"Anthony Palumbo","アンコモン, 神々の軍勢 (155/165) ",-
"歓楽の神、ゼナゴス/Xenagos, God of Revels （かんらくのかみぜなごす） ","(３)(赤)(緑)","伝説のクリーチャー・エンチャント — 神(God) ","破壊不能あなたの赤と緑への信心が７未満であるかぎり、歓楽の神、ゼナゴスはクリーチャーではない。あなたのターン中の戦闘の開始時に、あなたがコントロールする他のクリーチャー１体を対象とする。それはターン終了時まで速攻を得るとともに+X/+Xの修整を受ける。Ｘはそのクリーチャーのパワーである。","IndestructibleAs long as your devotion to red and green is less than seven, Xenagos isn't a creature.At the beginning of combat on your turn, another target creature you control gains haste and gets +X/+X until end of turn, where X is that creature's power.",6/5,-,,"Jason Chan","神話レア, 神々の軍勢 (156/165) ",-
"霊体のヤギ角/Astral Cornucopia （れいたいのやぎづの） ",(Ｘ)(Ｘ)(Ｘ),"アーティファクト ","霊体のヤギ角は、蓄積(charge)カウンターがＸ個置かれた状態で戦場に出る。(Ｔ)：色を１つ選ぶ。霊体のヤギ角の上に置かれた蓄積カウンター１個につき、あなたのマナ・プールにその色のマナ１点を加える。","Astral Cornucopia enters the battlefield with X charge counters on it.{T}: Choose a color. Add one mana of that color to your mana pool for each charge counter on Astral Cornucopia.",-,-,,"Aleksi Briclot","レア, 神々の軍勢 (157/165) ",-
"ゴルゴンの首/Gorgon's Head （ごるごんのくび） ","(１)","アーティファクト — 装備品(Equipment) ","装備しているクリーチャーは接死を持つ。装備(２)","Equipped creature has deathtouch.Equip {2}",-,-,,"Michael C. Hayes","アンコモン, 神々の軍勢 (158/165) ",-
"英雄の演壇/Heroes' Podium （えいゆうのえんだん） ","(５)","伝説のアーティファクト ","あなたのコントロールする各伝説のクリーチャーは、あなたがコントロールする他の伝説のクリーチャー１体につきそれぞれ+1/+1の修整を受ける。(Ｘ),(Ｔ)：あなたのライブラリーの一番上からＸ枚のカードを見る。あなたはその中から伝説のクリーチャー・カード１枚を公開してあなたの手札に加えてもよい。残りをあなたのライブラリーの一番下に無作為の順番で置く。","Each legendary creature you control gets +1/+1 for each other legendary creature you control.{X}, {T}: Look at the top X cards of your library. You may reveal a legendary creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",-,-,,"Willian Murai","レア, 神々の軍勢 (159/165) ",-
"戦いの柱/Pillar of War （たたかいのはしら） ","(３)","アーティファクト・クリーチャー — ゴーレム(Golem) ","防衛戦いの柱がエンチャントされているかぎり、これは自身が防衛を持たないかのように攻撃できる。","DefenderAs long as Pillar of War is enchanted, it can attack as though it didn't have defender.",3/3,-,,"Aleksi Briclot","アンコモン, 神々の軍勢 (160/165) ",-
"セイレーンの歌竪琴/Siren Song Lyre （せいれーんのうたたてごと） ","(２)","アーティファクト — 装備品(Equipment) ","装備しているクリーチャーは「(２),(Ｔ)：クリーチャー１体を対象とし、それをタップする。」を持つ。装備(２)","Equipped creature has ""{2}, {T}: Tap target creature.""Equip {2}",-,-,,"James Paick","アンコモン, 神々の軍勢 (161/165) ",-
"バネ葉の太鼓/Springleaf Drum （ばねはのたいこ） ","(１)","アーティファクト ","(Ｔ),あなたがコントロールするアンタップ状態のクリーチャーを１体タップする：あなたのマナ・プールに、好きな色のマナ１点を加える。","{T}, Tap an untapped creature you control: Add one mana of any color to your mana pool.",-,-,,"Seb McKinnon","アンコモン, 神々の軍勢 (162/165) ","BNG LRW "
