"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"チャンドラの誓い/Oath of Chandra （ちゃんどらのちかい） ","(１)(赤)","伝説のエンチャント ","チャンドラの誓いが戦場に出たとき、対戦相手がコントロールするクリーチャー１体を対象とする。チャンドラの誓いはそれに３点のダメージを与える。各終了ステップの開始時に、そのターンにプレインズウォーカーがあなたのコントロール下で戦場に出ていた場合、チャンドラの誓いは各対戦相手にそれぞれ２点のダメージを与える。","When Oath of Chandra enters the battlefield, it deals 3 damage to target creature an opponent controls.At the beginning of each end step, if a planeswalker entered the battlefield under your control this turn, Oath of Chandra deals 2 damage to each opponent.",-,-,,"Wesley Burt","レア, ゲートウォッチの誓い (113/184) ",-
"抑圧的支配/Press into Service （よくあつてきしはい） ","(４)(赤)","ソーサリー ","支援２を行う。（クリーチャーを最大２体対象とし、それらの上に+1/+1カウンターをそれぞれ１個置く。）クリーチャー１体を対象とし、ターン終了時までそれのコントロールを得る。そのクリーチャーをアンタップする。ターン終了時まで、それは速攻を得る。","Support 2. （Put a +1/+1 counter on each of up to two target creatures.）Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.",-,-,,"Steve Prescott","アンコモン, ゲートウォッチの誓い (114/184) ",-
"紅蓮術師の突撃/Pyromancer's Assault （ぐれんじゅつしのとつげき） ","(３)(赤)","エンチャント ","あなたが各ターンのあなたの２つ目の呪文を唱えるたび、クリーチャー１体かプレイヤー１人を対象とする。紅蓮術師の突撃はそれに２点のダメージを与える。","Whenever you cast your second spell each turn, Pyromancer's Assault deals 2 damage to target creature or player.",-,-,,"Todd Lockwood","アンコモン, ゲートウォッチの誓い (115/184) ",-
"無謀な奇襲隊/Reckless Bushwhacker （むぼうなきしゅうたい） ","(２)(赤)","クリーチャー — ゴブリン(Goblin)・戦士(Warrior)・同盟者(Ally) ","怒涛(１)(赤)（あなたかチームメイトがこのターンに他の呪文を唱えていたなら、あなたはこの呪文を怒涛コストで唱えてもよい。）速攻無謀な奇襲隊が戦場に出たとき、これの怒涛コストが支払われていた場合、ターン終了時まで、あなたがコントロールする他のクリーチャーは+1/+0の修整を受けるとともに速攻を得る。","Surge {1}{R} （You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.）HasteWhen Reckless Bushwhacker enters the battlefield, if its surge cost was paid, other creatures you control get +1/+0 and gain haste until end of turn.",2/1,-,,"Kieran Yanner","アンコモン, ゲートウォッチの誓い (116/184) ",-
"火花魔道士の計略/Sparkmage's Gambit （ひばなまどうしのけいりゃく） ","(１)(赤)","ソーサリー ","クリーチャーを最大２体対象とする。火花魔道士の計略はそれらにそれぞれ１点のダメージを与える。このターン、それらではブロックできない。","Sparkmage's Gambit deals 1 damage to each of up to two target creatures. Those creatures can't block this turn.",-,-,,"Mathias Kollros","コモン, ゲートウォッチの誓い (117/184) ",-
"ヴァラクートの涙/Tears of Valakut （う゛ぁらくーとのなみだ） ","(１)(赤)","インスタント ","ヴァラクートの涙は呪文や能力によっては打ち消されない。飛行を持つクリーチャー１体を対象とする。ヴァラクートの涙はそれに５点のダメージを与える。","Tears of Valakut can't be countered by spells or abilities.Tears of Valakut deals 5 damage to target creature with flying.",-,-,,"Noah Bradley","アンコモン, ゲートウォッチの誓い (118/184) ",-
"ヴァラクートの暴君/Tyrant of Valakut （う゛ぁらくーとのぼうくん） ","(５)(赤)(赤)","クリーチャー — ドラゴン(Dragon) ","怒涛(３)(赤)(赤)（あなたかチームメイトがこのターンに他の呪文を唱えていたなら、あなたはこの呪文を怒涛コストで唱えてもよい。）飛行ヴァラクートの暴君が戦場に出たとき、これの怒涛コストが支払われていた場合、クリーチャー１体かプレイヤー１人を対象とする。ヴァラクートの暴君はそれに３点のダメージを与える。","Surge {3}{R}{R} （You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.）FlyingWhen Tyrant of Valakut enters the battlefield, if its surge cost was paid, it deals 3 damage to target creature or player.",5/4,-,,"Tyler Jacobson","レア, ゲートウォッチの誓い (119/184) ",-
"ザダの猛士/Zada's Commando （ざだのもうし） ","(１)(赤)","クリーチャー — ゴブリン(Goblin)・射手(Archer)・同盟者(Ally) ","先制攻撃盟友 ― (Ｔ),あなたがコントロールするアンタップ状態の同盟者(Ally)を１体タップする：対戦相手１人を対象とする。ザダの猛士はそのプレイヤーに１点のダメージを与える。","First strikeCohort --- {T}, Tap an untapped Ally you control: Zada's Commando deals 1 damage to target opponent.",2/1,-,,"Zack Stella","コモン, ゲートウォッチの誓い (120/184) ",-
"産み落とす巨体/Birthing Hulk （うみおとすきょたい） ","(６)(緑)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）産み落とす巨体が戦場に出たとき、あなたは無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを２体戦場に出す。それらは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(◇)を加える。」を持つ。（(◇)は無色マナを表す。）(１)(◇)：産み落とす巨体を再生する。","Devoid （This card has no color.）When Birthing Hulk enters the battlefield, put two 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have ""Sacrifice this creature: Add {C} to your mana pool."" （{C} represents colorless mana.）{1}{C}: Regenerate Birthing Hulk.",5/4,-,,"Jack Wang","アンコモン, ゲートウォッチの誓い (121/184) ",-
"残された廃墟/Ruin in Their Wake （のこされたはいきょ） ","(１)(緑)","ソーサリー ","欠色（このカードは無色である。）あなたのライブラリーから基本土地カードを１枚探し、それを公開する。あなたが《荒地/Wastes》という名前の土地をコントロールしているなら、あなたはそのカードをタップ状態で戦場に出してもよい。そうでないなら、そのカードをあなたの手札に加える。その後、あなたのライブラリーを切り直す。","Devoid （This card has no color.）Search your library for a basic land card and reveal it. You may put that card onto the battlefield tapped if you control a land named Wastes. Otherwise, put that card into your hand. Then shuffle your library.",-,-,,"Jason Felix","アンコモン, ゲートウォッチの誓い (122/184) ",-
"末裔招き/Scion Summoner （まつえいまねき） ","(２)(緑)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）末裔招きが戦場に出たとき、あなたは無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(◇)を加える。」を持つ。（(◇)は無色マナを表す。）","Devoid （This card has no color.）When Scion Summoner enters the battlefield, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has ""Sacrifice this creature: Add {C} to your mana pool."" （{C} represents colorless mana.）",2/2,-,,"Johann Bodin","コモン, ゲートウォッチの誓い (123/184) ",-
"忍び寄りドローン/Stalking Drone （しのびよりどろーん） ","(１)(緑)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）(◇)：ターン終了時まで、忍び寄りドローンは+1/+2の修整を受ける。この能力は、毎ターン１回のみ起動できる。（(◇)は無色マナを表す。）","Devoid （This card has no color.）{C}: Stalking Drone gets +1/+2 until end of turn. Activate this ability only once each turn. （{C} represents colorless mana.）",2/2,-,,"Slawomir Maniak","コモン, ゲートウォッチの誓い (124/184) ",-
"卑小な回収者/Vile Redeemer （ひしょうなかいしゅうしゃ） ","(２)(緑)","クリーチャー — エルドラージ(Eldrazi) ","欠色（このカードは無色である。）瞬速あなたが卑小な回収者を唱えたとき、あなたは(◇)を支払ってもよい。そうしたなら、このターンにあなたのコントロール下で死亡したトークンでないクリーチャー１体につき、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それらのトークンは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(◇)を加える。」を持つ。","Devoid （This card has no color.）FlashWhen you cast Vile Redeemer, you may pay {C}. If you do, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield for each nontoken creature that died under your control this turn. Those tokens have ""Sacrifice this creature: Add {C} to your mana pool.""",3/3,-,,"Jason Rainville","レア, ゲートウォッチの誓い (125/184) ",-
"世界を壊すもの/World Breaker （せかいをこわすもの） ","(６)(緑)","クリーチャー — エルドラージ(Eldrazi) ","欠色（このカードは無色である。）あなたが世界を壊すものを唱えたとき、アーティファクト１つかエンチャント１つか土地１つを対象とし、それを追放する。到達(２)(◇),土地を１つ生け贄に捧げる：あなたの墓地から世界を壊すものをあなたの手札に戻す。（(◇)は無色マナを表す。）","Devoid （This card has no color.）When you cast World Breaker, exile target artifact, enchantment, or land.Reach{2}{C}, Sacrifice a land: Return World Breaker from your graveyard to your hand. （{C} represents colorless mana.）",5/7,-,,"Jaime Jones","神話レア, ゲートウォッチの誓い (126/184) ",-
"ベイロスの仔/Baloth Pup （べいろすのこ） ","(１)(緑)","クリーチャー — ビースト(Beast) ","ベイロスの仔の上に+1/+1カウンターが置かれているかぎり、これはトランプルを持つ。","Baloth Pup has trample as long as it has a +1/+1 counter on it.",3/1,-,,"Steve Prescott","アンコモン, ゲートウォッチの誓い (127/184) ",-
"死すべき定め/Bonds of Mortality （しすべきさだめ） ","(１)(緑)","エンチャント ","死すべき定めが戦場に出たとき、カードを１枚引く。(緑)：ターン終了時まで、対戦相手がコントロールするクリーチャーは呪禁と破壊不能を失う。","When Bonds of Mortality enters the battlefield, draw a card.{G}: Creatures your opponents control lose hexproof and indestructible until end of turn.",-,-,,"Chris Rallis","アンコモン, ゲートウォッチの誓い (128/184) ",-
"梢喰らい/Canopy Gorger （こずえくらい） ","(４)(緑)(緑)","クリーチャー — ワーム(Wurm) ",,,6/5,-,,"Lake Hurwitz","コモン, ゲートウォッチの誓い (129/184) ",-
"大自然の反撃/Elemental Uprising （だいしぜんはんげき） ","(１)(緑)","インスタント ","あなたがコントロールする土地１つを対象とする。ターン終了時まで、それは速攻を持つ4/4のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。このターン、それは可能ならブロックされなければならない。","Target land you control becomes a 4/4 Elemental creature with haste until end of turn. It's still a land. It must be blocked this turn if able.",-,-,,"Svetlin Velinov","コモン, ゲートウォッチの誓い (130/184) ",-
"洞察の具象化/Embodiment of Insight （どうさつのぐしょうか） ","(４)(緑)","クリーチャー — エレメンタル(Elemental) ","警戒あなたがコントロールする土地・クリーチャーは警戒を持つ。上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、あなたがコントロールする土地１つを対象とする。あなたは「ターン終了時まで、それは速攻を持つ3/3のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。」を選んでもよい。","VigilanceLand creatures you control have vigilance.Landfall --- Whenever a land enters the battlefield under your control, you may have target land you control become a 3/3 Elemental creature with haste until end of turn. It's still a land.",4/4,-,,"Marco Nelor","アンコモン, ゲートウォッチの誓い (131/184) ",-
"林鹿騎兵隊/Gladehart Cavalry （はやしじかきへいたい） ","(５)(緑)(緑)","クリーチャー — エルフ(Elf)・騎士(Knight) ","林鹿騎兵隊が戦場に出たとき、支援６を行う。（他のクリーチャーを最大６体対象とし、それらの上に+1/+1カウンターをそれぞれ１個置く。）あなたがコントロールする+1/+1カウンターが置かれているクリーチャーが１体死亡するたび、あなたは２点のライフを得る。","When Gladehart Cavalry enters the battlefield, support 6. （Put a +1/+1 counter on each of up to six other target creatures.）Whenever a creature you control with a +1/+1 counter on it dies, you gain 2 life.",6/6,-,,"Steven Belledin","レア, ゲートウォッチの誓い (132/184) ",-
"収穫トロール/Harvester Troll （しゅうかくとろーる） ","(３)(緑)","クリーチャー — トロール(Troll) ","収穫トロールが戦場に出たとき、あなたはクリーチャー１体か土地１つを生け贄に捧げてもよい。そうしたなら、収穫トロールの上に+1/+1カウンターを２個置く。","When Harvester Troll enters the battlefield, you may sacrifice a creature or land. If you do, put two +1/+1 counters on Harvester Troll.",2/3,-,,"Greg Staples","アンコモン, ゲートウォッチの誓い (133/184) ",-
"模範提示/Lead by Example （もはんていじ） ","(１)(緑)","インスタント ","支援２を行う。（クリーチャーを最大２体対象とし、それらの上に+1/+1カウンターをそれぞれ１個置く。）","Support 2. （Put a +1/+1 counter on each of up to two target creatures.）",-,-,,"Johannes Voss","コモン, ゲートウォッチの誓い (134/184) ",-
"壌土の幼生/Loam Larva （じょうどのようせい） ","(１)(緑)","クリーチャー — 昆虫(Insect) ","壌土の幼生が戦場に出たとき、あなたはあなたのライブラリーから基本土地カードを１枚探してもよい。そうしたなら、それを公開し、あなたのライブラリーを切り直し、そのカードをあなたのライブラリーの一番上に置く。","When Loam Larva enters the battlefield, you may search your library for a basic land card, reveal it, then shuffle your library and put that card on top of it.",1/3,-,,"Jason Kang","コモン, ゲートウォッチの誓い (135/184) ",-
"自然のままに/Natural State （しぜんのままに） ","(緑)","インスタント ","点数で見たマナ・コストが３以下の、アーティファクト１つかエンチャント１つを対象とし、それを破壊する。","Destroy target artifact or enchantment with converted mana cost 3 or less.",-,-,,"Volkan Baga","コモン, ゲートウォッチの誓い (136/184) ",-
"網投げ蜘蛛/Netcaster Spider （あみなげくも） ","(２)(緑)","クリーチャー — 蜘蛛(Spider) ","到達（このクリーチャーは飛行を持つクリーチャーをブロックできる。）網投げ蜘蛛が飛行を持つクリーチャーを１体ブロックするたび、ターン終了時まで、網投げ蜘蛛は+2/+0の修整を受ける。","Reach （This creature can block creatures with flying.）Whenever Netcaster Spider blocks a creature with flying, Netcaster Spider gets +2/+0 until end of turn.",2/3,-,,"Zoltan Boros","コモン, ゲートウォッチの誓い (137/184) ","OGW M15 "
"ゼンディカーの代弁者、ニッサ/Nissa, Voice of Zendikar （ぜんでぃかーのだいべんしゃにっさ） ","(１)(緑)(緑)","プレインズウォーカー — ニッサ(Nissa) ","[+1]：緑の0/1の植物(Plant)クリーチャー・トークンを１体戦場に出す。[-2]：あなたがコントロールする各クリーチャーの上に+1/+1カウンターをそれぞれ１個置く。[-7]：あなたはＸ点のライフを得てＸ枚のカードを引く。Ｘは、あなたがコントロールする土地の総数に等しい。","+1: Put a 0/1 green Plant creature token onto the battlefield.-2: Put a +1/+1 counter on each creature you control.-7: You gain X life and draw X cards, where X is the number of lands you control.",-,3,,"Raymond Swanland","神話レア, ゲートウォッチの誓い (138/184) ",-
"ニッサの裁き/Nissa's Judgment （にっさのさばき） ","(４)(緑)","ソーサリー ","支援２を行う。（クリーチャーを最大２体対象とし、それらの上に+1/+1カウンターをそれぞれ１個置く。）対戦相手がコントロールするクリーチャーを最大１体対象とする。あなたがコントロールする+1/+1カウンターが置かれている各クリーチャーは、それぞれそれのパワーに等しい点数のダメージをそのクリーチャーに与える。","Support 2. （Put a +1/+1 counter on each of up to two target creatures.）Choose up to one target creature an opponent controls. Each creature you control with a +1/+1 counter on it deals damage equal to its power to that creature.",-,-,,"Tyler Jacobson","アンコモン, ゲートウォッチの誓い (139/184) ",-
"ニッサの誓い/Oath of Nissa （にっさのちかい） ","(緑)","伝説のエンチャント ","ニッサの誓いが戦場に出たとき、あなたのライブラリーの一番上から３枚のカードを見る。あなたはその中からクリーチャー・カード１枚か土地カード１枚かプレインズウォーカー・カード１枚を公開してもよい。そうしたなら、それをあなたの手札に加える。残りをあなたのライブラリーの一番下に望む順番で置く。あなたは、プレインズウォーカー呪文を唱えるために、任意のマナを望む色のマナであるかのように支払ってもよい。","When Oath of Nissa enters the battlefield, look at the top three cards of your library. You may reveal a creature, land, or planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in any order.You may spend mana as though it were mana of any color to cast planeswalker spells.",-,-,,"Wesley Burt","レア, ゲートウォッチの誓い (140/184) ",-
"ムラーサの胎動/Pulse of Murasa （むらーさのたいどう） ","(２)(緑)","インスタント ","墓地からクリーチャー・カード１枚か土地カード１枚を対象とし、それをオーナーの手札に戻す。あなたは６点のライフを得る。","Return target creature or land card from a graveyard to its owner's hand. You gain 6 life.",-,-,,"Matt Stewart","コモン, ゲートウォッチの誓い (141/184) ",-
"鞍背ラガーク/Saddleback Lagac （くらせらがーく） ","(３)(緑)","クリーチャー — トカゲ(Lizard) ","鞍背ラガークが戦場に出たとき、支援２を行う。（他のクリーチャーを最大２体対象とし、それらの上に+1/+1カウンターをそれぞれ１個置く。）","When Saddleback Lagac enters the battlefield, support 2. （Put a +1/+1 counter on each of up to two other target creatures.）",3/1,-,,"Jason Kang","コモン, ゲートウォッチの誓い (142/184) ",-
"種子の守護者/Seed Guardian （しゅしのしゅごしゃ） ","(２)(緑)(緑)","クリーチャー — エレメンタル(Elemental) ","到達種子の守護者が死亡したとき、緑のX/Xのエレメンタル(Elemental)・クリーチャー・トークンを１体戦場に出す。Ｘは、あなたの墓地にあるクリーチャー・カードの総数に等しい。","ReachWhen Seed Guardian dies, put an X/X green Elemental creature token onto the battlefield, where X is the number of creature cards in your graveyard.",3/4,-,,"Vincent Proce","アンコモン, ゲートウォッチの誓い (143/184) ",-
"森の代言者/Sylvan Advocate （もりのだいげんしゃ） ","(１)(緑)","クリーチャー — エルフ(Elf)・ドルイド(Druid)・同盟者(Ally) ","警戒あなたが６つ以上の土地をコントロールしているかぎり、森の代言者とあなたがコントロールする土地クリーチャーは+2/+2の修整を受ける。","VigilanceAs long as you control six or more lands, Sylvan Advocate and land creatures you control get +2/+2.",2/3,-,,"Volkan Baga","レア, ゲートウォッチの誓い (144/184) ",-
"タジュールの道守/Tajuru Pathwarden （たじゅーるのみちもり） ","(４)(緑)","クリーチャー — エルフ(Elf)・戦士(Warrior)・同盟者(Ally) ","警戒、トランプル","Vigilance, trample",5/4,-,,"Victor Adame Minguez","コモン, ゲートウォッチの誓い (145/184) ",-
"イトグモの蔦/Vines of the Recluse （いとぐものつた） ","(緑)","インスタント ","クリーチャー１体を対象とする。ターン終了時まで、それは+1/+2の修整を受けるとともに到達を得る。それをアンタップする。（到達を持つクリーチャーは飛行を持つクリーチャーをブロックできる。）","Target creature gets +1/+2 and gains reach until end of turn. Untap it. （A creature with reach can block creatures with flying.）",-,-,,"Dan Scott","コモン, ゲートウォッチの誓い (146/184) ",-
"ゼンディカーの復興者/Zendikar Resurgent （ぜんでぃかーのふっこうしゃ） ","(５)(緑)(緑)","エンチャント ","あなたがマナを引き出す目的で土地を１つタップするたび、その土地が生み出したいずれかのタイプのマナ１点をあなたのマナ・プールに加える。（マナのタイプとは、白か青か黒か赤か緑か無色である。）あなたがクリーチャー呪文を１つ唱えるたび、カードを１枚引く。","Whenever you tap a land for mana, add one mana to your mana pool of any type that land produced. （The types of mana are white, blue, black, red, green, and colorless.）Whenever you cast a creature spell, draw a card.",-,-,,"Chris Rallis","レア, ゲートウォッチの誓い (147/184) ",-
"鞭打ちドローン/Flayer Drone （むちうちどろーん） ","(１)(黒)(赤)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）先制攻撃他の無色のクリーチャーが１体あなたのコントロール下で戦場に出るたび、対戦相手１人を対象とする。そのプレイヤーは１点のライフを失う。","Devoid （This card has no color.）First strikeWhenever another colorless creature enters the battlefield under your control, target opponent loses 1 life.",3/1,-,,"Lius Lasahido","アンコモン, ゲートウォッチの誓い (148/184) ",-
"精神溶かし/Mindmelter （せいしんとかし） ","(１)(青)(黒)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）精神溶かしはブロックされない。(３)(◇)：対戦相手１人を対象とする。そのプレイヤーは自分の手札からカードを１枚追放する。この能力は、あなたがソーサリーを唱えられるときにのみ起動できる。（(◇)は無色マナを表す。）","Devoid （This card has no color.）Mindmelter can't be blocked.{3}{C}: Target opponent exiles a card from his or her hand. Activate this ability only any time you could cast a sorcery. （{C} represents colorless mana.）",2/2,-,,"Jason Felix","アンコモン, ゲートウォッチの誓い (149/184) ",-
"虚空を継ぐもの/Void Grafter （こくうをつぐもの） ","(１)(緑)(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）虚空を継ぐものが戦場に出たとき、あなたがコントロールする他のクリーチャー１体を対象とする。ターン終了時まで、それは呪禁を得る。","Devoid （This card has no color.）Flash （You may cast this spell any time you could cast an instant.）When Void Grafter enters the battlefield, another target creature you control gains hexproof until end of turn.",2/4,-,,"Alejandro Mirabal","アンコモン, ゲートウォッチの誓い (150/184) ",-
"永代巡礼者、アイリ/Ayli, Eternal Pilgrim （えいだいじゅんれいしゃあいり） ","(白)(黒)","伝説のクリーチャー — コー(Kor)・クレリック(Cleric) ","接死(１),他のクリーチャーを１体生け贄に捧げる：あなたは生け贄に捧げたクリーチャーのタフネスに等しい点数のライフを得る。(１)(白)(黒),他のクリーチャーを１体生け贄に捧げる：土地でないパーマネント１つを対象とし、それを追放する。この能力は、あなたのライフの総量がゲーム開始時によりも１０点以上多いときにのみ起動できる。","Deathtouch{1}, Sacrifice another creature: You gain life equal to the sacrificed creature's toughness.{1}{W}{B}, Sacrifice another creature: Exile target nonland permanent. Activate this ability only if you have at least 10 life more than your starting life total.",2/3,-,,"Cynthia Sheppard","レア, ゲートウォッチの誓い (151/184) ",-
"ベイロスの虚身/Baloth Null （べいろすのきょしん） ","(４)(黒)(緑)","クリーチャー — ゾンビ(Zombie)・ビースト(Beast) ","ベイロスの虚身が戦場に出たとき、あなたの墓地からクリーチャー・カードを最大２枚まで対象とし、それらをあなたの手札に戻す。","When Baloth Null enters the battlefield, return up to two target creature cards from your graveyard to your hand.",4/5,-,,"Jakub Kasper","アンコモン, ゲートウォッチの誓い (152/184) ",-
"岸壁安息所の吸血鬼/Cliffhaven Vampire （がんぺきあんそくじょのきゅうけつき） ","(２)(白)(黒)","クリーチャー — 吸血鬼(Vampire)・戦士(Warrior)・同盟者(Ally) ","飛行あなたがライフを得るたび、各対戦相手はそれぞれ１点のライフを失う。","FlyingWhenever you gain life, each opponent loses 1 life.",2/4,-,,"David Gaillet","アンコモン, ゲートウォッチの誓い (153/184) ",-
"ジョラーガの援軍/Joraga Auxiliary （じょらーがのえんぐん） ","(１)(緑)(白)","クリーチャー — エルフ(Elf)・兵士(Soldier)・同盟者(Ally) ","(４)(緑)(白)：支援２を行う。（他のクリーチャーを最大２体対象とし、それらの上に+1/+1カウンターをそれぞれ１個置く。）","{4}{G}{W}: Support 2. （Put a +1/+1 counter on each of up to two other target creatures.）",2/3,-,,"David Gaillet","アンコモン, ゲートウォッチの誓い (154/184) ",-
"遺跡潜り、ジョリー・エン/Jori En, Ruin Diver （いせきもぐりじょりーえん） ","(１)(青)(赤)","伝説のクリーチャー — マーフォーク(Merfolk)・ウィザード(Wizard) ","あなたが各ターンのあなたの２つ目の呪文を唱えるたび、カードを１枚引く。","Whenever you cast your second spell each turn, draw a card.",2/3,-,,"Igor Kieryluk","レア, ゲートウォッチの誓い (155/184) ",-
"野生生まれのミーナとデーン/Mina and Denn, Wildborn （やせいうまれのみーなとでーん） ","(２)(赤)(緑)","伝説のクリーチャー — エルフ(Elf)・同盟者(Ally) ","あなたの各ターンに、あなたは追加の土地を１つプレイしてもよい。(赤)(緑),あなたがコントロールする土地を１つ、オーナーの手札に戻す：クリーチャー１体を対象とする。ターン終了時まで、それはトランプルを得る。","You may play an additional land on each of your turns.{R}{G}, Return a land you control to its owner's hand: Target creature gains trample until end of turn.",4/4,-,,Izzy,"レア, ゲートウォッチの誓い (156/184) ",-
"反射魔道士/Reflector Mage （はんしゃまどうし） ","(１)(白)(青)","クリーチャー — 人間(Human)・ウィザード(Wizard) ","反射魔道士が戦場に出たとき、対戦相手がコントロールするクリーチャー１体を対象とし、それをオーナーの手札に戻す。あなたの次のターンまで、そのクリーチャーのオーナーはそれと同じ名前を持つ呪文を唱えられない。","When Reflector Mage enters the battlefield, return target creature an opponent controls to its owner's hand. That creature's owner can't cast spells with the same name as that creature until your next turn.",2/3,-,,"Willian Murai","アンコモン, ゲートウォッチの誓い (157/184) ",-
"執拗な狩人/Relentless Hunter （しつようなかりゅうど） ","(１)(赤)(緑)","クリーチャー — 人間(Human)・戦士(Warrior) ","(１)(赤)(緑)：ターン終了時まで、執拗な狩人は+1/+1の修整を受けるとともにトランプルを得る。","{1}{R}{G}: Relentless Hunter gets +1/+1 and gains trample until end of turn.",3/3,-,,"Matt Stewart","アンコモン, ゲートウォッチの誓い (158/184) ",-
"嵐追いの魔道士/Stormchaser Mage （あらしおいのまどうし） ","(青)(赤)","クリーチャー — 人間(Human)・ウィザード(Wizard) ","飛行、速攻果敢（あなたがクリーチャーでない呪文を１つ唱えるたび、ターン終了時まで、このクリーチャーは+1/+1の修整を受ける。）","Flying, hasteProwess （Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.）",1/3,-,,"Clint Cearley","アンコモン, ゲートウォッチの誓い (159/184) ",-
"武器の教練者/Weapons Trainer （ぶきのきょうれんしゃ） ","(赤)(白)","クリーチャー — 人間(Human)・兵士(Soldier)・同盟者(Ally) ","あなたが装備品(Equipment)をコントロールしているかぎり、あなたがコントロールする他のクリーチャーは+1/+0の修整を受ける。","Other creatures you control get +1/+0 as long as you control an Equipment.",3/2,-,,"Greg Opalinski","アンコモン, ゲートウォッチの誓い (160/184) ",-
"骨の鋸/Bone Saw （ほねののこ） ","(０)","アーティファクト — 装備品(Equipment) ","装備しているクリーチャーは+1/+0の修整を受ける。装備(１)（(１)：あなたがコントロールするクリーチャー１体を対象とし、それにつける。装備はソーサリーとしてのみ行う。）","Equipped creature gets +1/+0.Equip {1} （{1}: Attach to target creature you control. Equip only as a sorcery.）",-,-,,"Kev Walker","コモン, ゲートウォッチの誓い (161/184) ","OGW CON "
"隊長の鉤爪/Captain's Claws （たいちょうのかぎづめ） ","(２)","アーティファクト — 装備品(Equipment) ","装備しているクリーチャーは+1/+0の修整を受ける。装備しているクリーチャーが攻撃するたび、白の1/1のコー(Kor)・同盟者(Ally)クリーチャー・トークンを１体、タップ状態で攻撃している状態で戦場に出す。装備(１)","Equipped creature gets +1/+0.Whenever equipped creature attacks, put a 1/1 white Kor Ally creature token onto the battlefield tapped and attacking.Equip {1}",-,-,,"Anthony Palumbo","レア, ゲートウォッチの誓い (162/184) ",-
"甲殻の外套/Chitinous Cloak （こうかくのがいとう） ","(３)","アーティファクト — 装備品(Equipment) ","装備しているクリーチャーは、+2/+2の修整を受けるとともに威迫を持つ。（それは２体以上のクリーチャーによってしかブロックされない。）装備(３)","Equipped creature gets +2/+2 and has menace. （It can't be blocked except by two or more creatures.）Equip {3}",-,-,,"Chris Rahn","アンコモン, ゲートウォッチの誓い (163/184) ",-
"面晶体の這行器/Hedron Crawler （めんしょうたいのしゃこうき） ","(２)","アーティファクト・クリーチャー — 構築物(Construct) ","(Ｔ)：あなたのマナ・プールに(◇)を加える。（(◇)は無色マナを表す。）","{T}: Add {C} to your mana pool. （{C} represents colorless mana.）",0/1,-,,"Daniel Ljunggren","コモン, ゲートウォッチの誓い (164/184) ",-
"予見者のランタン/Seer's Lantern （よけんしゃのらんたん） ","(３)","アーティファクト ","(Ｔ)：あなたのマナ・プールに(◇)を加える。（(◇)は無色マナを表す。）(２),(Ｔ)：占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）","{T}: Add {C} to your mana pool. （{C} represents colorless mana.）{2}, {T}: Scry 1. （Look at the top card of your library. You may put that card on the bottom of your library.）",-,-,,"Jung Park","コモン, ゲートウォッチの誓い (165/184) ",-
"石鍛冶の傑作/Stoneforge Masterwork （いしかじのけっさく） ","(１)","アーティファクト — 装備品(Equipment) ","装備しているクリーチャーは、あなたがコントロールする、それと共通のクリーチャー・タイプを持つ他のクリーチャー１体につき+1/+1の修整を受ける。装備(２)","Equipped creature gets +1/+1 for each other creature you control that shares a creature type with it.Equip {2}",-,-,,"Ben Maier","レア, ゲートウォッチの誓い (166/184) ",-
